ProductCD,Transactions,Fraud cases,Alerts,Fraud rate,Alert rate,Precision,Recall,F2,TP,FP,FN,TN
C,9388,1270,2402,0.13527907967618236,0.2558585428206221,0.443796835970025,0.8393700787401575,0.7123763699545576,1066,1336,204,6782
H,2562,164,462,0.06401249024199844,0.18032786885245902,0.2532467532467532,0.7134146341463414,0.5232558139534884,117,345,47,2053
R,4190,212,406,0.050596658711217185,0.09689737470167065,0.4211822660098522,0.8066037735849056,0.6818181818181818,171,235,41,3743
S,2973,144,153,0.04843592330978809,0.05146316851664985,0.49019607843137253,0.5208333333333334,0.51440329218107,75,78,69,2751
W,69468,1293,2406,0.01861288650889618,0.03463465192606668,0.19534497090606817,0.36349574632637277,0.31010820797044075,470,1936,823,66239
