Amount band,Transactions,Fraud cases,Alerts,Fraud rate,Alert rate,Precision,Recall,F2,TP,FP,FN,TN
Lowest,18025,885,1592,0.049098474341192785,0.08832177531206657,0.40703517587939697,0.7322033898305085,0.6313328137178488,648,944,237,16196
Low,18350,465,688,0.02534059945504087,0.03749318801089918,0.37790697674418605,0.5591397849462365,0.5102040816326531,260,428,205,17457
Middle,17964,585,965,0.03256513026052104,0.05371854820752616,0.3316062176165803,0.5470085470085471,0.48411497730711045,320,645,265,16734
High,17020,449,893,0.0263807285546416,0.05246768507638073,0.26763717805151177,0.532293986636971,0.44440312383785796,239,654,210,15917
Highest,17222,699,1691,0.04058762048542562,0.09818836372082221,0.2554701360141928,0.6180257510729614,0.48139068419879655,432,1259,267,15264
