DeviceType,Transactions,Fraud cases,Alerts,Fraud rate,Alert rate,Precision,Recall,F2,TP,FP,FN,TN
desktop,12562,822,1090,0.06543544021652603,0.08676962267154911,0.6522935779816513,0.864963503649635,0.8120146185472819,711,379,111,11361
missing,67778,1441,1783,0.02126058603086547,0.026306471126324175,0.42793045429052157,0.5294934073560028,0.5054988737246588,763,1020,678,65317
mobile,8241,836,1153,0.10144399951462202,0.13991020507219998,0.6461405030355594,0.8911483253588517,0.8283299977762953,745,408,91,6997
